cs_tt,cs_ft,cs_tl,cs_fl,d_tt,d_ft,d_tl,d_fl,wd_tt,wd_ft,wd_tl,wd_fl,w_tt,w_ft,w_tl,w_fl,ns_tt,ns_ft,ns_tl,ns_fl
13.6584,-22.7,-344.7528,3789.1,6.6876,-47.4,-342.8544,2637.5,12.7284,-41.9,-29.6052,73,9.0168,-29.4,-540.384,6546.6,47.7804,161.8,-13.7508,115.9
13.8456,-13.6,-338.5932,3715.9,6.6012,-50,-339.234,2600.8,12.7584,-39.6,-28.9068,63.6,9.0924,-29.7,-545.088,6514.2,48.3072,168.5,-12.4248,102.1
13.5744,-17.4,-332.2764,3641.3,6.6276,-53,-335.7984,2569.4,12.8976,-33.4,-27.7116,65.6,8.814,-36.1,-547.2132,6491.5,48.8112,167.8,-11.0988,94.4
14.2104,-26.4,-326.766,3554.6,6.3276,-44.9,-332.2212,2530,13.1712,-28.1,-26.31,60.1,9.1728,-29.6,-547.5096,6448.9,49.8084,167.3,-9.978,82.7
14.0124,-16,-320.4096,3476.2,6.2376,-47,-328.86,2494.7,13.0128,-34.7,-25.4292,52,9.0276,-22.2,-544.5504,6397.9,50.0904,182,-8.3124,75.8
13.7976,-20.5,-313.6716,3393.6,6.6672,-40.7,-324.6444,2460,12.9648,-32.8,-24.7356,48.6,8.826,-36.6,-538.9104,6364.3,50.6088,177.3,-7.3128,71.7
13.89,-17.2,-306.8076,3299.5,6.4476,-38.5,-321.0972,2410.3,12.9972,-33,-24.81,43.6,8.8752,-37.3,-532.1832,6327.6,51.5964,181.3,-6.5076,63.1
14.274,-20.2,-299.646,3211.6,6.474,-41.5,-317.1216,2384.7,13.332,-30.7,-24.1416,48.2,9.2664,-31.8,-525.6996,6295.1,51.564,190.3,-5.688,61.3
14.3064,-18.4,-292.3596,3123.1,6.4236,-46.7,-312.8916,2340.6,13.2396,-25.8,-23.6232,28.9,9.4224,-25.8,-518.4024,6266.4,52.1664,195.7,-5.2248,59
14.4684,-13.2,-284.6196,3033.6,6.4608,-40.2,-309.2652,2309.6,13.4364,-29.4,-22.8204,39.1,9.24,-31.2,-511.1904,6232,52.6968,192.3,-4.7004,52.4
14.6916,-16.8,-276.8436,2937.1,6.4608,-42.5,-304.8144,2275,13.6512,-22.2,-22.2984,41.3,9.4608,-37.8,-505.014,6194.4,53.178,206.6,-3.708,54.3
14.8284,-14,-268.9188,2840.1,6.474,-43.7,-301.4064,2228.2,13.4976,-27.1,-22.422,37.5,9.3984,-25.3,-499.3656,6176,53.9076,210.3,-3.1764,54.9
14.7312,-17,-261.7872,2751.4,6.2736,-35.2,-297.8004,2198.4,13.9608,-25.9,-22.2492,29.5,9.8652,-39.4,-497.1504,6149.5,54.3372,206.7,-2.922,50.9
14.7636,-18.5,-254.2464,2656.4,6.4008,-46.5,-294.2556,2167.3,13.914,-23,-21.5484,33.7,9.7344,-31.6,-497.586,6138,54.6204,208,-2.718,45.6
14.91,-20.4,-245.6484,2557.3,6.4524,-51.5,-290.5968,2126,13.6344,-25.4,-21.0444,30.7,9.6096,-26.9,-500.6328,6106.5,55.332,213.1,-2.1888,40
14.3484,-12.1,-236.2236,2453.4,6.048,-45.4,-287.0736,2088.4,13.6704,-23.9,-20.9808,31.5,10.3884,-30.4,-504.4056,6082.7,55.9608,224.5,-1.8636,42.7
14.5488,-10.3,-226.8864,2360.8,6.2916,-33.5,-282.4116,2042.6,13.8768,-31.6,-20.2416,21.2,10.6452,-17.5,-508.35,6064,56.622,214.8,-1.5564,40.1
14.7216,-11.5,-218.9412,2267.7,6.5112,-34.9,-277.92,2002,14.1144,-33.4,-19.9212,28.1,10.41,-18.6,-510.2952,6033.7,57.0336,219.3,-0.498,38.4
14.6796,-20.8,-210.9276,2173.1,6.678,-34,-272.6952,1959.6,13.8732,-25,-19.974,25,10.1544,-27.5,-509.772,6011.8,57.3732,224,-0.84,41.6
14.3004,-17.9,-202.59,2084.4,6.9132,-39.4,-267.3888,1915.2,14.0592,-24.7,-19.7088,21.9,10.404,-23.9,-506.3676,5960.7,57.7524,230.9,-1.494,45.9
14.4816,-21.7,-194.2824,1987.4,6.852,-29.1,-262.1124,1855.5,14.1228,-31.3,-19.2012,23.8,10.512,-21.1,-501.0048,5937.9,58.6572,235.1,-2.6172,69.2
14.73,-24.5,-183.654,1879.3,7.2312,-42.8,-255.6168,1801.4,13.7736,-27.4,-18.8664,25.7,10.5948,-10.4,-495.7284,5898.1,58.8768,240.9,-2.1396,43.4
14.946,-19.3,-173.9508,1781.4,6.912,-46.9,-249.792,1752.8,14.2056,-36.1,-19.0296,15.1,10.572,-22.1,-489.5892,5872.2,59.1948,237.6,-1.0548,51.8
14.3256,-22.3,-164.9052,1682.9,7.0764,-40.1,-243.1572,1690.4,14.154,-36.2,-18.444,12.2,10.6812,-14.4,-483.2892,5840.5,59.904,239.4,-1.1184,39.9
14.4324,-21.6,-155.88,1588.2,7.4088,-37.3,-235.776,1637.7,14.3736,-37.3,-18.246,12.8,10.752,-15.5,-478.086,5820.9,60.5244,248.1,-1.0068,36
14.9724,-22,-146.8596,1483.4,7.0872,-35.7,-228.5868,1573.2,14.3292,-30.3,-18.7908,14.1,10.5912,-17.6,-472.6212,5798.9,60.9684,261.4,-0.6264,35
14.5728,-25.6,-137.802,1375.8,7.3452,-37.7,-219.7956,1503.3,14.1084,-38.1,-18.5664,5.2,10.866,-15.6,-468.4488,5783.9,61.7136,261.4,-0.6936,43.6
14.4492,-17.2,-127.9464,1286.9,7.0944,-35.6,-211.056,1437.5,14.352,-31.8,-18.2856,12.7,10.9608,-20.8,-467.0244,5768.4,62.16,262.7,-0.9432,42.1
14.9172,-17.6,-118.3356,1179.6,6.7956,-39.5,-201.8568,1373.6,14.4096,-33.4,-18.1668,22.9,11.046,-19,-468.8244,5744.7,62.4576,265.1,-0.9108,33.5
15.168,-3.8,-108.912,1065,6.6864,-33.8,-191.3376,1315.3,14.7408,-28.9,-17.9196,13.9,10.848,-14.5,-472.416,5733.1,62.6952,260.9,-0.9576,39.5
14.9052,-11,-100.176,981.3,6.8244,-39.9,-183.3756,1250.3,14.8584,-35.8,-17.904,3,10.9728,-10.7,-477.8124,5715.9,62.9088,260.8,-0.7704,35
15.0084,-9.5,-89.7648,886,6.7572,-37.9,-176.1168,1186.6,14.8236,-37.9,-17.7372,2.6,11.4516,-17.1,-483.2352,5698.5,63.366,266.7,-1.0956,41.1
14.9124,-0.5,-80.6448,776.1,6.8556,-34.5,-168.2472,1122.8,14.694,-27.9,-17.622,5.2,11.268,-13.4,-486.2784,5657.2,63.69,273.7,-0.4668,31.1
15.294,-15.6,-71.1948,686.6,7.2996,-34.5,-160.3404,1058.1,14.622,-27.5,-17.6088,6.5,11.2356,-16,-487.2792,5642.7,64.4952,274.1,0.1884,22.8
15.4944,-4.1,-63.3576,598.7,6.8808,-40.8,-153.2376,1002.6,14.7036,-21.8,-17.4,-2.1,11.4648,-27.2,-486.51,5618.9,64.6584,275.2,0.2028,26.7
15.2928,3.8,-56.364,518.7,7.0656,-41,-145.6032,957.2,14.9352,-33.5,-17.4048,3.2,11.0232,-20.7,-483.5856,5579.2,65.2416,278.9,0.5316,26
15.2088,-2.6,-49.3788,451,6.8724,-38.1,-138.3636,911.4,14.838,-27,-17.4036,8.2,10.6908,-20.6,-480.2964,5561.7,65.9484,283.8,0.5112,26.9
15.4356,-13.3,-43.1556,394.9,6.834,-30.1,-131.4996,851.2,14.8548,-19.4,-17.5668,10.1,11.1756,-25.6,-477.0012,5535.6,66.2016,290.3,0.018,18
15.7212,-13.4,-38.2224,342.6,6.7536,-28.2,-125.028,825.1,15.1164,-18.2,-17.328,-1,11.3364,-26.8,-474.2268,5497.7,66.7512,294.4,0.0168,18.4
15.1992,-4.7,-34.3212,310,7.116,-37.8,-118.344,770.6,14.9964,-20.7,-16.5636,3.5,10.7772,-28.3,-471.6216,5489.1,67.8252,294.9,0.5988,19.4
