,Dc,Dt,NSpc,NSt,Sc,St,Wc,Wt
5405,,,0.1781,5.0984409589999995,,,,
5406,,,0.1909,5.100122067,,,,
5407,,,0.1872,5.112998845,,,,
5408,,,0.1957,5.128448879,,,,
5409,,,0.2068,5.140408055,,,,
5410,,,0.1926,5.154393702,,,,
5411,,,0.1778,5.170620848,,,,
5412,,,0.1848,5.1911445810000005,,,,
5413,,,0.1937,5.195865338,,,,
5414,,,0.1836,5.221486706,,,,
5415,,,0.193,5.227477195,,,,
5416,,,0.1867,5.217876727,,,,
5417,,,0.1829,5.20083394,,,,
5418,,,0.1895,5.211190718,,,,
5419,,,0.2001,5.220624689,,,,
5420,,,0.1999,5.205211416,,,,
5421,,,0.1974,5.201990445,,,,
5422,,,0.2071,5.211203833,,,,
5423,,,0.1955,5.236377686,,,,
5424,,,0.1965,5.250376513,,,,
5425,,,0.1955,5.260197351,,,,
5426,,,0.2034,5.282558235,,,,
5427,,,0.1922,5.313881336000001,,,,
5428,,,0.1901,5.325807739,,,,
5429,,,0.2016,5.334691577,,,,
5430,,,0.1935,5.355230787,,,,
5431,,,0.1933,5.368863257999999,,,,
5432,,,0.2037,5.363438888999999,,,,
5433,,,0.1968,5.365982501,,,,
5434,,,0.1942,5.371931289,,,,
5435,,,0.1969,5.360303962,,,,
5436,,,0.2168,5.345655423,,,,
5437,,,0.2126,5.348627148,,,,
5438,,,0.1875,5.320574363,,,,
5439,,,0.1997,5.323753974,,,,
5440,,,0.1965,5.303953201000001,,,,
5441,,,0.198,5.28448163,,,,
5442,,,0.1891,5.279434593,,,,
5443,,,0.212,5.267453482,,,,
5444,,,0.2099,5.2676827610000005,,,,
5445,,,0.1976,5.260834235,,,,
5446,,,0.1917,5.269645719,,,,
5447,,,0.1878,5.271169972,,,,
5448,,,0.20600000000000002,5.267774405,,,,
5449,,,0.2123,5.27191415,,,,
5450,,,0.1865,5.281788379,,,,
5451,,,0.1827,5.278648396,,,,
5452,,,0.2013,5.260818909,,,,
5453,,,0.1893,5.274947564,,,,
5454,,,0.193,5.278098087,,,,
5455,,,0.1909,5.284092643,,,,
5456,,,0.20800000000000002,5.283377655,,,,
5457,,,0.1934,5.301224038,,,,
5458,,,0.1919,5.312843569,,,,
5459,,,0.1996,5.328723152,,,,
5460,,,0.2087,5.345633665,,,,
5461,,,0.1917,5.351658204,,,,
5462,,,0.1982,5.3671267160000005,,,,
5463,,,0.212,5.386302216,,,,
5464,,,0.1907,5.405174092999999,,,,
5465,,,0.2037,5.42944299,,,,
5466,,,0.2008,5.445731027000001,,,,
5467,,,0.1954,5.468441164,,,,
5468,,,0.201,5.466388796,,,,
5469,,,0.1997,5.48571684,,,,
5470,,,0.2038,5.49380009,,,,
5471,,,0.2059,5.493744142000001,,,,
5472,,,0.1926,5.4884988439999995,,,,
5473,,,0.1982,5.486268848,,,,
5474,,,0.1964,5.513507988,,,,
5475,,,0.1893,5.5148236939999995,,,,
5476,,,0.1971,5.521187609,,,,
5477,,,0.1985,5.5436937660000005,,,,
5478,,,0.1908,5.543697889,,,,
5479,,,0.1893,5.538748554,,,,
5480,,,0.1901,5.566121216,,,,
5481,,,0.19,5.584392093,,,,
5482,,,0.1962,5.587299206,,,,
5483,,,0.2004,5.5929048329999995,,,,
5484,,,0.1987,5.599344127,,,,
5485,,,0.2084,5.604827029,,,,
5486,,,0.1997,5.5925912470000005,,,,
5487,,,0.1971,5.59833837,,,,
5488,,,0.2022,5.601299374,,,,
5489,,,0.2028,5.60641627,,,,
5490,,,0.2007,5.627788026,,,,
5491,,,0.2152,5.622418175,,,,
5492,,,0.2048,5.635278856,,,,
5493,,,0.2072,5.658131644,,,,
5494,,,0.2064,5.665386614,,,,
5495,,,0.1995,5.668749237999999,,,,
5496,,,0.2077,5.660752747,,,,
5497,,,0.1972,5.681509225,,,,
5498,,,0.1924,5.681361302000001,,,,
5499,,,0.2082,5.6770315060000005,,,,
5500,,,0.1963,5.691252971,,,,
5501,,,0.209,5.688836273,,,,
5502,,,0.1985,5.688754307000001,,,,
5503,,,0.2081,5.708039401000001,,,,
5504,,,0.20199999999999999,5.728787998,,,,
5505,,,0.2119,5.744295146,,,,
5506,,,0.2157,5.75829542,,,,
5507,,,0.2112,5.789748474,,,,
5508,,,0.2263,5.79846045,,,,
5509,,,0.2163,5.820557305,,,,
5510,,,0.2057,5.842626438,,,,
5511,,,0.222,5.840957738999999,,,,
5512,,,0.2352,5.851858762000001,,,,
5513,,,0.2271,5.86490429,,,,
5514,,,0.2197,5.881978185,,,,
5515,,,0.2136,5.904370791,,,,
5516,,,0.221,5.9125047870000005,,,,
5517,,,0.2016,5.928800288,,,,
5518,,,0.2216,5.94541443,,,,
5519,,,0.2226,5.957488016,,,,
5520,,,0.2257,5.968013956,,,,
5521,,,0.2216,5.97668109,,,,
5522,,,0.2265,5.979571411,,,,
5523,,,0.2091,5.984995218,,,,
5524,,,0.2035,5.976475002000001,,,,
5525,,,0.2093,5.969249922,,,,
5526,,,0.2115,5.965684062,,,,
5527,,,0.2215,5.958851845,,,,
5528,,,0.2195,5.936879594,,,,
5529,,,0.22,5.891182501,,,,
5530,,,0.2235,5.85763289,,,,
5531,,,0.2222,5.780172954,,,,
5532,,,0.2055,5.744015652000001,,,,
5533,,,0.2273,5.689987686,,,,
5534,,,0.2166,5.632790626,,,,
5535,,,0.2187,5.579095587,,,,
5536,,,0.2141,5.549181181,,,,
5537,,,0.21600000000000003,5.543933062000001,,,,
5538,,,0.2209,5.55607204,,,,
5539,,,0.2221,5.582954947999999,,,,
5540,,,0.237,5.639917,,,,
5541,,,0.2198,5.692999252000001,,,,
5542,,,0.2031,5.751695622000001,,,,
5543,,,0.2176,5.818328229,,,,
5544,,,0.226,5.876060452000001,,,,
5545,,,0.2262,5.923394114,,,,
5546,,,0.23,5.945625647000001,,,,
5547,,,0.2235,5.969914731,,,,
5548,,,0.2309,5.994918571,,,,
5549,,,0.231,6.016804095,,,,
5550,,,0.2224,6.030697497,,,,
5551,,,0.235,6.0495838310000005,,,,
5552,,,0.2188,6.056559346,,,,
5553,,,0.2281,6.064654308,,,,
5554,,,0.2293,6.088150317,,,,
5555,,,0.2234,6.086328716000001,,,,
5556,,,0.2272,6.08644166,,,,
5557,,,0.2357,6.091237132000001,,,,
5558,,,0.2265,6.074468557,,,,
5559,,,0.2289,6.084186771000001,,,,
5560,,,0.2195,6.08371202,,,,
5561,,,0.2301,6.092922985,,,,
5562,,,0.2177,6.088887916,,,,
5563,,,0.222,6.090403107,,,,
5564,,,0.24100000000000002,6.1089928229999995,,,,
5565,,,0.23399999999999999,6.10033099,,,,
5566,,,0.2306,6.0952372939999995,,,,
5567,,,0.2448,6.12136472,,,,
5568,,,0.2379,6.117821416,,,,
5569,,,0.2441,6.127819087000001,,,,
5570,,,0.2326,6.150042654,,,,
5571,,,0.2221,6.163239927,,,,
5572,,,0.2349,6.169406422000001,,,,
5573,,,0.2471,6.181180997,,,,
5574,,,0.2543,6.2144238110000005,,,,
5575,,,0.251,6.221586522000001,,,,
5576,,,0.2365,6.217948043,,,,
5577,,,0.2398,6.237918289,,,,
5578,,,0.2381,6.242127625,,,,
5579,,,0.2334,6.250100415,,,,
5580,,,0.2427,6.2610160210000005,,,,
5581,,,0.2474,6.279663945,,,,
5582,,,0.2507,6.28771756,,,,
5583,,,0.2385,6.315129787999999,,,,
5584,,,0.251,6.330423357000001,,,,
5585,,,0.2653,6.33724971,,,,
5586,,,0.2746,6.358041875,,,,
5587,,,0.2587,6.370293716,,,,
5588,,,0.2643,6.382137598,,,,
5589,,,0.2741,6.395451144,,,,
5590,,,0.2639,6.413004109,,,,
5591,,,0.2577,6.43382654,,,,
5592,,,0.2439,6.438513019,,,,
5593,,,0.2457,6.442563094,,,,
5594,,,0.2526,6.449244315,,,,
5595,,,0.2632,6.465277345,,,,
5596,,,0.2549,6.4723596389999996,,,,
5597,,,0.2614,6.505585107999999,,,,
5598,,,0.2714,6.526128975,,,,
5599,,,0.2696,6.545631674,,,,
5600,,,0.2609,6.593732461,,,,
5601,,,0.2645,6.621531271,,,,
5602,,,0.2668,6.637691664,,,,
5603,,,0.2511,6.665526858,,,,
5604,,,0.2646,6.68135022,,,,
5605,,,0.2556,6.675456134,,,,
5606,,,0.2562,6.680867717999999,,,,
5607,,,0.2729,6.696604849,,,,
5608,,,0.2666,6.708966394,,,,
5609,,,0.2772,6.70136964,,,,
5610,,,0.2625,6.714328968999999,,,,
5611,,,0.2627,6.737699901,,,,
5612,,,0.2685,6.741613322,,,,
5613,,,0.2795,6.759217133,,,,
5614,,,0.2632,6.766262782,,,,
5615,,,0.2656,6.768377067,,,,
5616,,,0.2733,6.773135452999999,,,,
5617,,,0.2726,6.769277926,,,,
5618,,,0.2732,6.763091322,,,,
5619,,,0.2588,6.774969066000001,,,,
5620,,,0.2748,6.773279381,,,,
5621,,,0.2818,6.7763532820000005,,,,
5622,,,0.2839,6.771825242999999,,,,
5623,,,0.2843,6.7752026910000005,,,,
5624,,,0.2833,6.782238267,,,,
5625,,,0.2914,6.785745177000001,,,,
5626,,,0.2858,6.781525277,,,,
5627,,,0.2905,6.777412655,,,,
5628,,,0.2881,6.777548199,,,,
5629,,,0.2751,6.767913163999999,,,,
5630,,,0.2819,6.767678972000001,,,,
5631,,,0.2767,6.75679829,,,,
5632,,,0.2857,6.7284760420000005,,,,
5633,,,0.2755,6.721311353,,,,
5634,,,0.2807,6.712183277,,,,
5635,,,0.2729,6.7038644210000005,,,,
5636,,,0.2661,6.707369545,,,,
5637,,,0.2912,6.7040711029999995,,,,
5638,,,0.2851,6.70903274,,,,
5639,,,0.2914,6.7103077970000005,,,,
5640,,,0.2926,6.718850558,,,,
5641,,,0.2689,6.740305922999999,,,,
5642,,,0.2911,6.74063985,,,,
5643,,,0.2768,6.750486072999999,,,,
5644,,,0.2828,6.763855457999999,,,,
5645,,,0.2944,6.7687006279999995,,,,
5646,,,0.2937,6.784041618,,,,
5647,,,0.3032,6.786269455,,,,
5648,,,0.3019,6.786291241,,,,
5649,,,0.2965,6.7910990579999995,,,,
5650,,,0.2927,6.786509666000001,,,,
5651,,,0.307,6.795460736,,,,
5652,,,0.2989,6.799699211,,,,
5653,,,0.297,6.8026601289999995,,,,
5654,,,0.3021,6.813922752000001,,,,
5655,,,0.3057,6.822190312999999,,,,
5656,,,0.3152,6.838059451,,,,
5657,,,0.3191,6.843824729,,,,
5658,,,0.2985,6.854471145,,,,
5659,,,0.304,6.860431949,,,,
5660,,,0.314,6.877228528,,,,
5661,,,0.3165,6.887239054,,,,
5662,,,0.3079,6.893183586,,,,
5663,,,0.3003,6.908664025,,,,
5664,,,0.306,6.905941026,,,,
5665,,,0.3024,6.893844232999999,,,,
5666,,,0.3104,6.893396762,,,,
5667,,,0.3124,6.901700312000001,,,,
5668,,,0.3024,6.896701913999999,,,,
5669,,,0.3048,6.894978715,,,,
5670,,,0.306,6.891594607999999,,,,
5671,,,0.3206,6.902758405,,,,
5672,,,0.3117,6.908436391,,,,
5673,,,0.3049,6.925632386,,,,
5674,,,0.3017,6.948426382,,,,
5675,,,0.3144,6.9535175360000006,,,,
5676,,,0.3076,6.961937967999999,,,,
5677,,,0.3025,6.97690253,,,,
5678,,,0.314,6.999614437000001,,,,
5679,,,0.3119,7.016213942,,,,
5680,,,0.3002,7.049331023,,,,
5681,,,0.3087,7.070120064,,,,
5682,,,0.3095,7.076322176000001,,,,
5683,,,0.3082,7.084100787000001,,,,
5684,,,0.3084,7.112940353,,,,
5685,,,0.3043,7.129427062,,,,
5686,,,0.3166,7.1431929489999995,,,,
5687,,,0.3155,7.155225023,,,,
5688,,,0.3188,7.165473274,,,,
5689,,,0.3128,7.165385642,,,,
5690,,,0.3066,7.166383006,,,,
5691,,,0.3107,7.179494665,,,,
5692,,,0.3211,7.186986319,,,,
5693,,,0.3148,7.202271937000001,,,,
5694,,,0.3126,7.218429315,,,,
5695,,,0.3163,7.225616382999999,,,,
5696,,,0.3278,7.2436889110000005,,,,
5697,,,0.3238,7.250022486000001,,,,
5698,,,0.3375,7.235281087000001,,,,
5699,,,0.3186,7.2256799329999994,,,,
5700,,,0.3154,7.260049727,,,,
5701,,,0.3198,7.251873432999999,,,,
5702,,,0.3245,7.2509335,,,,
5703,,,0.3273,7.246709481,,,,
5704,,,0.3054,7.243925697000001,,,,
5705,,,0.3127,7.259166742000001,,,,
5706,,,0.3195,7.268906767000001,,,,
5707,,,0.3131,7.283032335,,,,
5708,,,0.3089,7.296889127000001,,,,
5709,,,0.319,7.319272419,,,,
5710,,,0.3059,7.33499966,,,,
5711,,,0.3162,7.3607267620000005,,,,
5712,,,0.3174,7.375466403,,,,
5713,,,0.3223,7.410154199,,,,
5714,,,0.3314,7.436138431,,,,
5715,,,0.3203,7.435766256,,,,
5716,,,0.3304,7.449776097999999,,,,
5717,,,0.3227,7.461803354,,,,
5718,,,0.3212,7.469062721,,,,
