Dcu1,Dtu1,Dcd1,Dtd1,Dcu2,Dtu2,Dcd2,Dtd2,Dcu3,Dtu3,Dcd3,Dtd3,Dcu4,Dtu4,Dcd4,Dtd4,Dcu5,Dtu5,Dcd5,Dtd5
0.5527,144.1074036,95.3134,-983.33789,-0.3631,131.9369236,92.7777,-958.4124668,-0.3982,106.8796604,99.7952,-970.5273268,-0.7497,99.8274564,63.8078,-748.2760692,-0.7799,96.363278,82.3331,-1037.149993
0.5385,144.2620684,95.0694,-980.6510732,-0.3464,132.5743288,92.517,-954.7219356,-0.4079,112.4845908,99.5463,-967.5737812,-0.7306,113.4540268,63.4763,-744.9490044,-0.7687,96.2108792,82.1685,-1032.768167
0.5378,143.2594664,94.8329,-981.383362,-0.3356,132.5882544,92.2606,-954.903916,-0.3888,117.5754688,99.2906,-967.2169068,-0.7329,119.954604,63.1447,-739.944976,-0.7746,96.4057552,81.9687,-1028.170535
0.5739,144.69232,94.5854,-977.0026896,-0.3409,132.570044,92.0002,-952.7342828,-0.3708,120.6059348,99.029,-963.9185584,-0.7418,120.3782636,62.8167,-736.043954,-0.7733,96.2460228,81.798,-1024.577648
0.5976,144.754326,94.3362,-976.2796708,-0.3396,132.4550548,91.7388,-950.9436896,-0.3617,122.0583584,98.7924,-961.6415168,-0.736,121.0807648,62.4751,-731.4400188,-0.7825,97.3447856,81.6056,-1020.81065
0.6154,146.1634484,94.0933,-971.3177076,-0.332,133.4886804,91.4843,-948.9693444,-0.3476,122.534548,98.534,-958.9346768,-0.7253,121.6389424,62.1397,-727.6784176,-0.7882,112.270186,81.401,-1015.157762
0.6297,147.7969048,93.8429,-969.6268184,-0.3096,129.3172216,91.2237,-946.7864036,-0.3294,122.658148,98.2848,-955.2620676,-0.7388,120.7031256,61.8055,-721.0572892,-0.7757,115.3376496,81.2281,-1012.997028
0.6647,148.4895592,93.5949,-965.8826448,-0.2995,127.5238268,90.9553,-944.7689632,-0.3279,122.9754704,98.0165,-954.0865904,-0.7297,120.4940768,61.4716,-715.4401224,-0.7775,115.5854676,81.0348,-1010.720316
0.6918,149.7935392,93.335,-963.7778604,-0.2653,127.9380516,88.646,-949.8836548,-0.3241,123.47844,97.7583,-951.875922,-0.7343,120.4488392,61.1429,-711.917028,-0.7757,116.5191008,80.8271,-1008.936439
0.719,151.4489552,93.0865,-963.1417736,-0.241,127.0038004,88.3688,-942.3377512,-0.3219,123.5092988,97.5129,-950.5646496,-0.7421,121.2625804,60.8222,-707.8985036,-0.7729,115.4877,80.6384,-1004.348366
0.748,152.3233428,92.8227,-959.3065068,-0.2341,127.51604,88.1009,-937.9071444,-0.3121,123.5192692,97.2352,-946.4376456,-0.7346,120.4538244,60.4973,-705.10193,-0.7744,115.7424808,80.4416,-1001.737769
0.8151,152.644126,92.5741,-957.664522,-0.2028,127.72616,87.8279,-934.4573036,-0.3026,124.115804,96.9625,-944.5122872,-0.7371,120.4463672,60.1529,-700.2039092,-0.7638,115.8294128,80.2228,-997.3615872
0.8915,152.7751008,92.2937,-952.22777,-0.1769,127.337026,87.5624,-930.5666228,-0.3088,124.6915328,96.6845,-941.6635956,-0.7381,120.2719264,59.8198,-697.424722,-0.762,116.0340944,80.0116,-992.887432
0.9596,153.2117384,92.0145,-949.8108956,-0.1496,127.5111372,87.2841,-927.600676,-0.2902,123.2814628,96.4215,-937.963506,-0.7342,120.1308988,59.493,-694.6169008,-0.7725,116.0678784,79.7927,-988.7875376
0.4855,151.3956836,91.762,-946.3583356,-0.1364,128.509372,87.0047,-924.6526512,-0.2531,120.374638,96.144,-935.2254776,-0.7326,120.0777508,59.1822,-691.2705132,-0.7627,115.5897524,79.5853,-982.5826116
0.4513,147.5116772,91.4944,-943.8647056,-0.1063,128.0207812,86.7318,-922.3644856,-0.2291,119.738098,95.8625,-932.0277808,-0.7346,120.1823164,58.8605,-689.5187304,-0.7613,116.2375812,79.3647,-979.4860196
0.5679,146.0287656,91.2248,-940.1161236,-0.0784,128.6969144,86.4545,-920.3803348,-0.1976,119.6722192,95.5878,-929.5863924,-0.7305,119.9388656,58.5186,-685.5256264,-0.7738,115.8363344,79.1436,-976.8909964
0.6114,146.9540352,90.9464,-937.4120028,-0.0512,128.8255408,86.1782,-916.9483748,-0.1667,120.4069388,95.3141,-928.0319576,-0.7447,120.110134,58.2063,-684.2848884,-0.767,115.6200756,78.9204,-975.2368988
0.6971,148.1560864,90.6783,-934.513006,-0.0257,128.4263952,85.889,-914.302964,-0.1295,120.3617424,95.0395,-925.5735536,-0.7335,119.1802088,54.6439,-690.7740532,-0.7615,115.6687328,78.7119,-971.9472024
0.7617,149.3744116,90.4197,-931.8094208,-0.0068,130.145012,85.623,-911.3218144,-0.1095,121.5961356,94.7542,-922.1039368,-0.7312,120.5877656,54.3103,-683.0771516,-0.7622,115.8999884,78.4757,-967.0000712
0.8244,150.1355816,90.1332,-930.4190444,0.0195,130.0344312,85.3352,-909.5175428,-0.0888,120.7144144,94.4706,-919.750016,-0.7318,118.2799476,54.001,-679.0416116,-0.7622,115.7915912,78.2502,-964.6997928
0.8618,150.9712,89.8613,-926.2657548,0.0487,130.6462924,85.0357,-906.7318048,-0.0626,121.0041328,94.1895,-918.1789364,-0.7261,121.213676,53.6712,-676.7935748,-0.7631,115.9338548,78.0277,-960.949398
0.8994,152.7977608,89.5749,-923.132536,0.0702,130.827284,84.7439,-903.56645,-0.0363,120.6229916,93.9108,-914.6514336,-0.727,117.5189012,53.3453,-670.230868,-0.7531,115.1997532,77.7874,-957.2337348
0.9356,153.5324392,89.2834,-918.5993,0.0962,130.266552,84.4425,-901.0910304,0.0007,121.2857348,93.6121,-912.991774,-0.7228,106.549154,53.0073,-665.7344648,-0.7553,116.8603192,77.5549,-954.3360152
0.9896,155.2093616,88.9889,-914.8339496,0.1129,132.7172104,84.144,-896.457802,0.0186,121.4687452,93.3142,-909.7735596,-0.72,107.6907648,52.6919,-661.5145136,-0.7277,101.9669724,77.3059,-951.5921776
1.0373,153.8223636,88.6925,-912.2877072,0.1308,130.3313596,83.8496,-894.5513956,0.0671,122.2217988,93.0206,-907.2296244,-0.7141,103.0230932,52.3913,-657.901768,-0.7234,101.1802172,77.0681,-948.242288
