Time,,,ueWrenA1,ueWrenA2,ueWrenB1,ueWrenB2,Pressure,EX1629_TIME_252,
ID,,,EX1629_25200,EX1629_25201,EX1629_25202,EX1629_25203,EX1629_25247,EX1629_TIME_252,
Unit,,,uStrain,uStrain,uStrain,uStrain,psi,s,
RangeMax,,,1706,1706,1706,1706,9500,1100,
RangeMin,,,-1706,-1706,-1706,-1706,-9500,-210,
ThreeFactorial,,,0,0,0,0,0,0,
TwoFactorial,,,0,0,0,0,0,0,
PrefixGain,,,1,1,1,1,1,1,
PrefixOffset,,,0,0,0,0,0,0,
Slope,,,1,1,1,1,1,1,
Offset,,,0,0,0,0,0,0,
ZeroValue,,,-0.186857,-1.42384,1.06115,-1.25018,-119.155,107.636,
Datetime,Second,Time,,,,,,,
2/6/2020 15:13,14.485,17.64,-1.3994,-20.1942,26.2068,6.3485,2091.9965,139.112,2206
2/6/2020 15:13,14.493,17.648,-2.9372,-22.4134,27.6818,6.6707,2125.0066,139.12,2207
2/6/2020 15:13,14.501,17.656,-1.2602,-19.642,25.4277,6.049,2111.8488,139.128,2208
2/6/2020 15:13,14.509,17.664,-3.3235,-23.2759,28.9532,7.2489,2104.6409,139.136,2209
2/6/2020 15:13,14.517,17.672,-1.1848,-19.2793,24.523,5.5692,2125.5431,139.144,2210
2/6/2020 15:13,14.525,17.68,-3.3017,-23.3019,29.1123,7.3147,2088.5774,139.152,2211
2/6/2020 15:13,14.533,17.688,-1.6485,-19.8764,25.0347,5.7802,2138.236,139.16,2212
2/6/2020 15:13,14.541,17.696,-2.5823,-22.3158,28.1934,6.8307,2078.3247,139.168,2213
2/6/2020 15:13,14.549,17.704,-2.0269,-20.5259,25.7872,6.1579,2141.5061,139.176,2214
2/6/2020 15:13,14.557,17.712,-1.9852,-21.2607,27.2116,6.3224,2080.9975,139.184,2215
2/6/2020 15:13,14.565,17.72,-2.6184,-21.3982,26.8352,6.4711,2128.292,139.192,2216
2/6/2020 15:13,14.573,17.728,-1.3496,-20.2061,25.9102,5.8005,2086.6628,139.2,2217
2/6/2020 15:13,14.581,17.736,-2.994,-22.2731,27.8545,6.853,2115.061,139.208,2218
2/6/2020 15:13,14.589,17.744,-1.1472,-19.7681,25.3889,5.7915,2102.5631,139.216,2219
2/6/2020 15:13,14.597,17.752,-2.8976,-22.3036,27.9148,6.5642,2097.8815,139.224,2220
2/6/2020 15:13,14.605,17.76,-1.3959,-19.5722,25.4721,6.1433,2119.5076,139.232,2221
2/6/2020 15:13,14.613,17.768,-3.0541,-22.7435,28.3159,6.5987,2082.8864,139.24,2222
2/6/2020 15:13,14.621,17.776,-1.2234,-19.7507,25.581,6.2333,2133.1246,139.248,2223
2/6/2020 15:13,14.629,17.784,-3.097,-22.5906,28.1407,6.4457,2078.0908,139.256,2224
